P,PET,logE,logK
1296.6247474747477,708.3157575757575,-4.636327545184934,-3.338187314462739
728.0562583222371,1112.6065246338217,-5.138167002342055,-2.5128616245228135
933.3593755016856,798.5891635896612,-4.3503732157250985,-2.5606673061697376
962.4634328358208,1048.3446268656717,-5.138167002342056,-2.39040559077478
596.9753842486288,491.7347009740311,-3.1840360288896212,-2.39040559077478
910.856408227848,769.2939873417722,-4.562512423452607,-2.5606673061697376
2392.485477865122,1104.010575093091,-4.132650382811208,-1.91721462968355
1479.9572881355934,729.5324745762712,-3.9220770616046057,-2.5606673061697376
1756.347296528173,1269.06109277177,-4.983893764652379,-3.338187314462739
1063.9101449275363,1119.9182608695653,-4.517340759316665,-2.39040559077478
600.0388214799667,1236.9535741876848,-4.520474563013487,-2.39040559077478
2588.196875,703.14375,-2.9591478456316684,-3.338187314462739
1168.0304104477614,676.5205970149254,-4.102146623231422,-3.338187314462739
849.9622857142857,1135.4660571428572,-3.7133868202289455,-2.5128616245228135
1065.7237871123818,1206.654977787552,-4.57330929880141,-3.51427857351842
762.7461289577075,1335.534716893922,-4.28178219813,-2.39040559077478
3796.421052631578,1611.082105263158,-4.3718347634688355,-3.149966742310231
1040.6547232625885,939.6402996254682,-4.603451962012868,-2.39040559077478
1406.7517598343686,695.0298136645962,-3.0208255152711714,-3.338187314462739
1428.2060606060606,850.7749494949496,-4.40890601962916,-3.149966742310231
1115.3290035587188,896.2889679715304,-4.544221045439267,-3.51427857351842
460.8660857030534,1054.901711440178,-4.585608505910231,-3.51427857351842
1233.915,841.4569999999999,-4.451832647813525,-3.338187314462739
782.7084075723832,1439.4521158129176,-5.033648700145325,-3.149966742310231
2139.8864784546804,730.2647251114413,-3.348384235190706,-3.338187314462739
1378.0867197875168,1049.2274103585655,-4.900265659332666,-3.338187314462739
1148.243923611111,818.4532291666666,-3.9488687824451967,-2.39040559077478
650.8070068359375,1193.40427734375,-5.138167002342056,-2.5128616245228135
622.8389574759946,1164.4348971193417,-4.313497792934141,-3.149966742310231
1589.570814908402,1425.7483512318383,-5.363899947577216,-3.338187314462739
924.737048832272,1286.8451137397633,-5.283665929144302,-3.51427857351842
2903.551960784314,1015.12,-4.2331249540288916,-3.149966742310231
905.936936936937,904.0745945945946,-3.946230310400691,-2.39040559077478
775.9405594405595,1259.3797552447552,-5.489726082474693,-2.5128616245228135
968.2984585741812,883.5793063583816,-3.7755187346963672,-2.39040559077478
1645.3121951219514,758.04,-3.9402643256388767,-2.5128616245228135
654.9709052883179,1406.436118314909,-5.256326190340872,-2.213958789757446
197.23686354378825,1792.2076374745418,-5.503070351926785,-2.5128616245228135
3857.685084745763,1497.7533559322037,-4.3596612280579174,-2.213958789757446
1408.4601840490798,753.1078527607363,-4.189015066544327,-3.338187314462739
1685.4973825877112,1367.0283608687582,-4.806528948871487,-3.338187314462739
1508.5426371511069,906.0888161693936,-4.513427849481643,-2.39040559077478
987.1878453038676,1276.8091421924978,-5.156066809540316,-2.5128616245228135
505.0166368515206,1178.8975313059034,-4.113114641013992,-3.149966742310231
1088.3606371468788,791.2001532799966,-3.9877473506049084,-2.213958789757446
1332.4472205253514,1575.6381918142945,-4.85622995068787,-3.51427857351842
1576.4541554959787,1079.9961394101877,-3.523144728976204,-2.5128616245228135
911.905785123967,830.3901652892563,-3.946230310400691,-2.5606673061697376
2668.446623302488,1355.8490753946246,-3.453135177312771,-2.5128616245228135
814.5315523525514,1749.9075248508948,-5.07805354577059,-3.338187314462739
1521.0109612141653,779.3581112984823,-3.665572622717217,-2.39040559077478
1285.5617672790902,1300.6223622047244,-4.444059562181489,-0.9956786262173574
1290.7270270270271,740.1697297297297,-4.110442016703323,-2.5128616245228135
854.3321808510639,777.6858510638298,-4.1110586819317305,-2.5606673061697376
1665.4094339622643,698.757283018868,-3.2246163164477233,-3.338187314462739
1554.6377166607713,1154.3891864166962,-3.864295029873275,-3.338187314462739
1105.1407932011332,1191.6101983002832,-4.877404095908209,-3.51427857351842
1445.7465804066544,1250.3882439926065,-3.7475798678881396,-2.39040559077478
1603.3825607416882,718.4300255754475,-2.9120226111809577,-3.338187314462739
893.189800210305,592.7516719242902,-5.054039296422431,-2.39040559077478
1356.8496649292629,706.6282650781832,-4.618482290703868,-3.338187314462739
634.5441233002093,1472.453615585774,-5.345270891190427,-2.213958789757446
1990.8447708578144,1083.9330669800236,-3.788558862441153,-3.149966742310231
353.3575491846529,1029.6676057187365,-4.0517419341236645,-2.5128616245228135
534.3397944199706,1227.9522466960352,-3.674874473783069,-3.149966742310231
2216.784090909091,681.67,-2.954714123156269,-3.338187314462739
701.7623800383877,1460.4050671785028,-5.11610129904253,-2.39040559077478
